1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 173 ,heading: 13 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 172 ,heading: 14 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 170 ,heading: 16 ,rotateDirection: left ,quarter: Q3
output: 157 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
