1460540096643 Device(s) COM5  
1460540096669 Connected COM5  
1460540099884 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 127 ,heading: 133 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 115 ,heading: 122 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 109 ,heading: 115 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 255 ,setpoint: 0 ,input: 96 ,heading: 102 ,rotateDirection: right ,quarter: Q1
output: 0 ,setpoint: 0 ,input: 94 ,heading: 100 ,rotateDirection: right ,quarter: Q1
